Name,Type,MV,Colors,Cost,Sub-types,Produced,Flags,Power,FlagsVer
Cave Sense,Enchantment,2,R,{1}{R},Aura,,,,3
Cave-In,Sorcery,5,R,{3}{R}{R},,,,,3
Cavern Crawler,Creature,3,R,{2}{R},Insect,,,0,3
Ceaseless Conflict,Sorcery,5,W,{3}{W}{W},,,wipe,,3
Celebrate the Mountain-king,Enchantment,4,W,{3}{W},,,draw,,3
Celestial Dawn,Enchantment,3,W,{1}{W}{W},,,,,3
Cerebral Confiscation,Sorcery,3,B,{2}{B},,,,,3
Ceremonial Guard,Creature,3,R,{2}{R},Human;Soldier,,,3,3
Cessation,Enchantment,3,W,{2}{W},Aura,,,,3
Chambered Nautilus,Creature,3,U,{2}{U},Nautilus;Beast,,draw,2,3
Chameleon Spirit,Creature,4,U,{3}{U},Illusion;Spirit,,,*,3
"Chameleon, Master of Disguise",Creature,4,U,{3}{U},Human;Shapeshifter;Villain,,,2,3
Champion of the Path,Creature,4,R,{3}{R},Elemental;Sorcerer,,,7,3
Champion of the Weird,Creature,4,B,{3}{B},Goblin;Berserker,,,5,3
Champion's Helm,Artifact,3,,{3},Equipment,,,,3
Champions from Beyond,Enchantment,2,W,{X}{W}{W},,,draw,,3
"Chandra, Flameshaper",Planeswalker,7,R,{5}{R}{R},Chandra,R,mana3,,3
"Chandra, Spark Hunter",Planeswalker,4,R,{3}{R},Chandra,,draw,,3
Change of Heart,Instant,1,W,{W},,,,,3
Changeling Wayfinder,Creature,3,,{3},Shapeshifter,,fetch:basic,1,3
Chaos Spewer,Creature,3,B R,{2}{B/R},Goblin;Warlock,,,5,3
Chaos Warp,Instant,3,R,{2}{R},,,,,3
Charging Strifeknight,Creature,3,R,{2}{R},Spirit;Knight,,draw,3,3
Charm Peddler,Creature,1,W,{W},Human;Spellshaper,,,1,3
Chase Inspiration,Instant,1,U,{U},,,,,3
Cheerful Osteomancer // Raise Dead,Creature,4,B,{3}{B} // {B},Orc;Warlock,,,4,3
Chief Warg's Company,Creature,3,B G,{1}{B}{G},Wolf,,,5,3
Chieftain en-Dal,Creature,3,W,{1}{W}{W},Human;Knight,,,2,3
Chill,Enchantment,2,U,{1}{U},,,,,3
Chilling Apparition,Creature,3,B,{2}{B},Spirit,,,1,3
Chitin Gravestalker,Creature,6,B,{5}{B},Insect;Warrior,,draw,5,3
Cho-Arrim Bruiser,Creature,6,W,{5}{W},Ogre;Rebel,,,3,3
Cho-Arrim Legate,Creature,3,W,{2}{W},Human;Soldier,,,1,3
Cho-Manno's Blessing,Enchantment,2,W,{W}{W},Aura,,,,3
Chocobo Kick,Sorcery,2,G,{1}{G},,,,,3
Chocobo Racetrack,Artifact,5,G,{3}{G}{G},,,,,3
Choked Estuary,Land,0,B U,,,U B,etb-tapped-cond,,3
Choking Vines,Instant,1,G,{X}{G},,,,,3
Chromatic Lantern,Artifact,3,,{3},,W U B R G,ramp;rock,,3
"Cid, Freeflier Pilot",Creature,2,W,{1}{W},Human;Warrior;Pilot,,discount:vehicle:1,2,3
Cinder Barrens,Land,0,B R,,,B R,etb-tapped,,3
Cinder Elemental,Creature,4,R,{3}{R},Elemental,,,2,3
Cinder Glade,Land,0,G R,,Mountain;Forest,R G,etb-tapped-cond,,3
Circle of Power,Sorcery,4,B,{3}{B},,,draw,,3
Circle of Protection: Black,Enchantment,2,W,{1}{W},,,,,3
Circle of Protection: Blue,Enchantment,2,W,{1}{W},,,,,3
Circle of Protection: Green,Enchantment,2,W,{1}{W},,,,,3
Circle of Protection: Red,Enchantment,2,W,{1}{W},,,,,3
Circle of Protection: White,Enchantment,2,W,{1}{W},,,,,3
City Pigeon,Creature,1,W,{W},Bird,,,1,3
Claim Jumper,Creature,3,W,{2}{W},Rabbit;Mercenary,,fetch:plains;ramp,3,3
Claim the Kingdom,Enchantment,2,G,{1}{G},Plan,,,,3
Clamorous Ironclad,Artifact,4,R,{3}{R},Vehicle,,draw,6,3
Clash of the Eikons,Sorcery,1,G,{G},,,,,3
Cleansing Nova,Sorcery,5,W,{3}{W}{W},,,wipe,,3
Clear,Instant,2,W,{1}{W},,,draw;removal,,3
Clear the Land,Sorcery,3,G,{2}{G},,,,,3
Clever Concealment,Instant,4,W,{2}{W}{W},,,,,3
Clever Impersonator,Creature,4,U,{2}{U}{U},Shapeshifter,,,0,3
Clifftop Retreat,Land,0,R W,,,W R,etb-tapped-cond,,3
"Clive, Ifrit's Dominant",Creature,6,R,{4}{R}{R},Human;Noble;Warrior,R,mana3,5,3
"Cloak and Dagger, Entwined",Creature,3,B W,{1}{W}{B},Human;Hero,,,2,3
Clot Sliver,Creature,2,B,{1}{B},Sliver,,,1,3
Cloud Sprite,Creature,1,U,{U},Faerie,,,1,3
Cloud of Faeries,Creature,2,U,{1}{U},Faerie,,draw,1,3
Cloud's Limit Break,Instant,2,W,{1}{W},,,removal;wipe,,3
"Cloud, Ex-SOLDIER",Creature,5,G R W,{2}{R}{G}{W},Human;Soldier;Mercenary,,draw,4,3
"Cloud, Planet's Champion",Creature,5,R W,{3}{R}{W},Human;Soldier;Mercenary,,,4,3
Cloudblazer,Creature,5,U W,{3}{W}{U},Human;Scout,,draw,2,3
Cloudbound Moogle,Creature,5,W,{3}{W}{W},Moogle,,fetch:plains,2,3
Cloudskate,Creature,2,U,{1}{U},Illusion,,,2,3
Cloudspire Coordinator,Creature,2,R W,{R}{W},Human;Pilot,,,3,3
Cloudspire Skycycle,Artifact,4,R W,{2}{R}{W},Vehicle,,,2,3
Coastal Peak,Land,0,R U,,Island;Mountain,U R,draw;etb-tapped,,3
Coastal Piracy,Enchantment,4,U,{2}{U}{U},,,draw,,3
Coastal Tower,Land,0,U W,,,W U,etb-tapped,,3
"Codsworth, Handy Helper",Creature,3,W,{2}{W},Robot,W,dork;mana-restricted;mana2;ramp;rock,2,3
Coercion,Sorcery,3,B,{2}{B},,,,,3
Coeurl,Creature,2,W,{1}{W},Cat;Beast,,,2,3
Coiling Woodworm,Creature,3,G,{2}{G},Insect;Worm,,,*,3
Coliseum Behemoth,Creature,7,G,{5}{G}{G},Beast,,draw,7,3
Collective Effort,Sorcery,3,W,{1}{W}{W},,,removal,,3
"Colleen Wing, Street Samurai",Creature,2,W,{1}{W},Human;Samurai;Hero,,,2,3
Collision Course,Sorcery,2,W,{1}{W},,,removal,,3
Colossus Hammer,Artifact,1,,{1},Equipment,,,,3
Colossus of the Blood Age,Creature,6,R W,{4}{R}{W},Construct,,,6,3
Combat Tutorial,Sorcery,3,U,{2}{U},,,,,3
Combustible Gearhulk,Creature,6,R,{4}{R}{R},Construct,,draw,6,3
Combustion Man,Creature,5,R,{3}{R}{R},Human;Assassin,,,4,3
Command Tower,Land,0,,,,W U B R G,,,3
Commander Sofia Daguerre,Creature,4,W,{3}{W},Human;Pilot,,,1,3
Commander's Sphere,Artifact,3,,{3},,W U B R G,draw;ramp;rock,,3
Concealed Weapon,Artifact,2,R,{1}{R},Equipment,,,,3
Condemn,Instant,1,W,{W},,,,,3
Conformer Shuriken,Artifact,2,,{2},Equipment,,,,3
Conqueror's Flail,Artifact,2,,{2},Equipment,,,,3
Conspiracy Theorist,Creature,2,R,{1}{R},Human;Shaman,,draw,2,3
Constant Mists,Instant,2,G,{1}{G},,,,,3
Constrictor Sage,Creature,5,U,{4}{U},Snake;Wizard,,,4,3
Construct a Cosmic Cube,Enchantment,3,B,{2}{B},Plan,,,,3
Containment Construct,Creature,2,,{2},Construct,,,2,3
Contaminated Aquifer,Land,0,B U,,Island;Swamp,U B,etb-tapped,,3
Contempt,Enchantment,2,U,{1}{U},Aura,,,,3
Contract Hero,Creature,3,R,{2}{R},Human;Mercenary;Hero,W U B R G,dork;ramp,2,3
Coral Merfolk,Creature,2,U,{1}{U},Merfolk,,,2,3
Cornered by Black Mages,Sorcery,3,B,{1}{B}{B},,,,,3
Corrupted Conviction,Instant,1,B,{B},,,draw,,3
Cosmic Cube,Artifact,5,,{5},,,,,3
Cosmic Spider-Man,Creature,5,B G R U W,{W}{U}{B}{R}{G},Spider;Human;Hero,,,5,3
Cost of Brilliance,Sorcery,3,B,{2}{B},,,,,3
Costume Closet,Artifact,2,W,{1}{W},,,,,3
Counterspell,Instant,2,U,{U}{U},,,counter,,3
Country Roads,Land,0,W,,,W,etb-tapped-cond,,3
Courier of Comestibles,Creature,2,G,{1}{G},Human;Citizen,,,1,3
Coveted Jewel,Artifact,6,,{6},,W U B R G,draw;ramp;rock,,3
Crash,Instant,3,R,{2}{R},,,removal,,3
Crash and Burn,Instant,4,R,{3}{R},,,removal,,3
Crashing Wave,Sorcery,2,U,{U}{U},,,,,3
Craven Giant,Creature,3,R,{2}{R},Giant,,,4,3
Creakwood Liege,Creature,4,B G,{1}{B/G}{B/G}{B/G},Horror,,,2,3
Credit Voucher,Artifact,2,,{2},,,,,3
Crenellated Wall,Creature,4,,{4},Wall,,,0,3
Crimson Caravaneer,Creature,3,R,{2}{R},Human;Scout,,,1,3
Crimson Operative,Creature,4,R,{3}{R},Human;Villain,,,3,3
Crooked Scales,Artifact,4,,{4},,,,,3
Crop Rotation,Instant,1,G,{G},,,fetch:land;ramp,,3
"Crossbones, Malicious Mercenary",Creature,4,B,{3}{B},Human;Mercenary;Villain,,,3,3
Crossbow Ambush,Instant,1,G,{G},,,,,3
Crossbow Infantry,Creature,2,W,{1}{W},Human;Soldier;Archer,,,1,3
Crossroads Village,Land,0,,,Town,W U B R G,etb-tapped,,3
Crowd of True Believers,Creature,1,W,{W},Human;Citizen,,,1,3
Crude Bent Blade,Artifact,3,B,{2}{B},Equipment,,,,3
Cruel Alliance,Sorcery,3,B,{2}{B},,,removal,,3
Crush Contraband,Instant,4,W,{3}{W},,,removal,,3
Crux of Fate,Sorcery,5,B,{3}{B}{B},,,wipe,,3
Cryogen Relic,Artifact,2,U,{1}{U},,,draw,,3
Crypt Rats,Creature,3,B,{2}{B},Rat,,,1,3
Crystal Rod,Artifact,1,,{1},,,,,3
Crystal Vein,Land,0,,,,C,mana2,,3
Cuboid Colony,Creature,2,G U,{G}{U},Insect,,,1,3
Culling Ritual,Sorcery,4,B G,{2}{B}{G},,B G,,,3
Cultivate,Sorcery,3,G,{2}{G},,,fetch:basic;ramp,,3
Cunning Maneuver,Instant,2,R,{1}{R},,,draw,,3
Currency Converter,Artifact,1,,{1},,,draw,,3
Cursecloth Wrappings,Artifact,4,B,{2}{B}{B},,,,,3
Cursed Totem,Artifact,2,,{2},,,,,3
Customs Depot,Enchantment,2,U,{1}{U},,,draw,,3
Cut a Deal,Sorcery,3,W,{2}{W},,,draw,,3
Daily Bugle Building,Land,0,,,,W U B R G C,,,3
Daily Bugle Reporters,Creature,4,W,{3}{W},Human;Citizen,,,2,3
Damage Control Crew,Creature,4,G,{3}{G},Human;Citizen,,,3,3
Dancer's Chakrams,Artifact,4,W,{3}{W},Equipment,,,,3
Dancing from Dark to Dawn,Enchantment,5,G,{3}{G}{G},,,,,3
Darba,Creature,4,G,{3}{G},Bird;Beast,,,5,3
"Daredevil, Man Without Fear",Creature,4,R W,{2}{R}{W},Human;Hero,,,3,3
Daring Mechanic,Creature,3,W,{2}{W},Human;Artificer,,,3,3
Dark Banishing,Instant,3,B,{2}{B},,,removal,,3
Dark Deed,Instant,2,B,{1}{B},,,,,3
Dark Depths,Land,0,,,,,,,3
Dark Fortress,Land,0,B R,,,B R C,,,3
Dark Knight's Greatsword,Artifact,3,B,{2}{B},Equipment,,,,3
Dark Ritual,Instant,1,B,{B},,B,mana3,,3
Dark Triumph,Instant,5,B,{4}{B},,,,,3
Darksteel Plate,Artifact,3,,{3},Equipment,,,,3
Darkwater Catacombs,Land,0,B U,,,U B,mana2,,3
Darting Merfolk,Creature,2,U,{1}{U},Merfolk,,,1,3
Dawn's Light Archer,Creature,3,G,{2}{G},Elf;Archer,,,4,3
Dawn-Blessed Pennant,Artifact,1,,{1},,,,,3
Day of Black Sun,Sorcery,2,B,{X}{B}{B},,,,,3
Daze,Instant,2,U,{1}{U},,,counter,,3
Deadly Brew,Sorcery,2,B G,{B}{G},,,,,3
Deadly Dispute,Instant,2,B,{1}{B},,W U B R G,draw,,3
Deadly Embrace,Sorcery,5,B,{3}{B}{B},,,draw;removal,,3
Deadly Tempest,Sorcery,6,B,{4}{B}{B},,,wipe,,3
Death Begets Life,Sorcery,8,B G U,{5}{B}{G}{U},,,draw;wipe,,3
Death Cloud,Sorcery,3,B,{X}{B}{B}{B},,,,,3
Death Pit Offering,Enchantment,4,B,{2}{B}{B},,,,,3
Death Speakers,Creature,1,W,{W},Human;Cleric,,,1,3
Death in the Family,Instant,2,B,{1}{B},,,removal,,3
Death to Our Enemies,Enchantment,3,R,{2}{R},Plan,,,,3
Deathgazer,Creature,4,B,{3}{B},Lizard,,,2,3
Deathless Pilot,Creature,2,B,{1}{B},Zombie;Pilot,,,2,3
Decadent Dragon // Expensive Taste,Creature,4,B R,{2}{R}{R} // {2}{B},Dragon,,,4,3
Deceit,Creature,6,B U,{4}{U/B}{U/B},Elemental;Incarnation,,,5,3
Decimate,Sorcery,4,G R,{2}{R}{G},,,removal,,3
Decode Transmissions,Sorcery,3,B,{2}{B},,,draw,,3
Decoy Ploy,Instant,2,B,{1}{B},,,,,3
Deduce,Instant,2,U,{1}{U},,,draw,,3
Deepwood Drummer,Creature,2,G,{1}{G},Human;Spellshaper,,,1,3
Deepwood Tantiv,Creature,5,G,{4}{G},Beast,,,2,3
Deepwood Wolverine,Creature,1,G,{G},Wolverine,,,1,3
Defender en-Vec,Creature,4,W,{3}{W},Human;Cleric,,,2,3
Defender of Chaos,Creature,3,R,{2}{R},Human;Knight,,,2,3
Defender of Law,Creature,3,W,{2}{W},Human;Knight,,,2,3
Defense Grid,Artifact,2,,{2},,,,,3
Defensive Formation,Enchantment,1,W,{W},,,,,3
Defiant Falcon,Creature,2,W,{1}{W},Rebel;Bird,,,1,3
Defiant Vanguard,Creature,3,W,{2}{W},Human;Rebel,,,2,3
Defiling Daemogoth,Creature,5,B,{3}{B}{B},Demon,,,5,3
Dehydration,Enchantment,4,U,{3}{U},Aura,,,,3
"Delney, Streetwise Lookout",Creature,3,W,{2}{W},Human;Scout,,,2,3
Deluge Virtuoso,Creature,3,U,{2}{U},Human;Wizard,,,2,3
Demolition Field,Land,0,,,,C,fetch:basic;ramp,,3
Dependable Quinjet,Artifact,3,,{3},Vehicle,W U B R G,ramp;rock,3,3
Depower,Instant,3,U,{2}{U},,,draw,,3
Derelor,Creature,4,B,{3}{B},Thrull,,,4,3
Desert Were-Worm,Creature,6,R,{4}{R}{R},Dragon;Wurm,,,0,3
Deserted Beach,Land,0,U W,,,W U,etb-tapped-cond,,3
Desolate Mire,Land,0,B W,,,W B,mana2,,3
Desolation Prowler,Creature,2,B,{1}{B},Wolf,,,2,3
Desolation of Smaug,Sorcery,4,R,{2}{R}{R},,W U B R G,mana-restricted,,3
Desperate Bloodseeker,Creature,2,B,{1}{B},Vampire,,,2,3
Despondency,Enchantment,2,B,{1}{B},Aura,,,,3
Destroy Evil,Instant,2,W,{1}{W},,,removal,,3
Devil Dinosaur,Creature,4,G,{2}{G}{G},Dinosaur,,,5,3
Devout Harpist,Creature,1,W,{W},Human,,,1,3
Devout Witness,Creature,3,W,{2}{W},Human;Spellshaper,,,2,3
Diamond Pick-Axe,Artifact,1,R,{R},Equipment,W U B R G,ramp;rock,,3
Diary of Dreams,Artifact,2,,{2},Book,,draw,,3
Dictate of the Twin Gods,Enchantment,5,R,{3}{R}{R},,,,,3
Dig Site Inventory,Sorcery,1,W,{W},,,,,3
Dig Through Time,Instant,8,U,{6}{U}{U},,,,,3
Diluvian Primordial,Creature,7,U,{5}{U}{U},Avatar,,,5,3
"Dina, Essence Brewer",Creature,3,B G,{1}{B}{G},Dryad;Druid,,draw,2,3
"Dina, Soul Steeper",Creature,2,B G,{B}{G},Dryad;Druid,,,1,3
Diplomatic Immunity,Enchantment,2,U,{1}{U},Aura,,,,3
Director Nick Fury,Creature,3,R U W,{U}{R}{W},Human;Spy;Hero,,discount:hero:1,2,3
Discerning Peddler,Creature,2,R,{1}{R},Human;Rogue,,draw,2,3
Disciple of Law,Creature,2,W,{1}{W},Human;Cleric,,draw,1,3
Disease Carriers,Creature,4,B,{2}{B}{B},Rat,,,2,3
Disenchant,Instant,2,W,{1}{W},,,removal,,3
Dismantling Wave,Sorcery,3,W,{2}{W},,,draw;wipe,,3
Dismember,Instant,3,B,{1}{B/P}{B/P},,,,,3
Dismissive Denial,Instant,4,U,{2}{U}{U},,,counter;fetch:basic,,3
Dispatch,Instant,1,W,{W},,,,,3
Dissection Practice,Instant,1,B,{B},,,,,3
District Mascot,Creature,1,G,{G},Dog;Mount,,,0,3
Divergent Equation,Instant,1,U,{X}{X}{U},,,,,3
Diversion Unit,Creature,2,U,{1}{U},Robot,,counter,2,3
Divine Transformation,Enchantment,4,W,{2}{W}{W},Aura,,,,3
Diving Griffin,Creature,3,W,{1}{W}{W},Griffin,,,2,3
Doc Ock's Henchmen,Creature,3,U,{2}{U},Human;Villain,,draw,2,3
Doc Ock's Tentacles,Artifact,1,,{1},Equipment,,,,3
"Doc Ock, Sinister Scientist",Creature,5,U,{4}{U},Human;Scientist;Villain,,,4,3
"Doc Samson, Super Psychiatrist",Creature,5,G,{4}{G},Gamma;Doctor;Hero,W U B R G,dork;ramp,3,3
Dockworker Drone,Creature,2,W,{1}{W},Robot,,,1,3
Doctor Doom,Creature,6,B,{4}{B}{B},Human;Scientist;Villain,,draw,3,3
"Dogmeat, Ever Loyal",Creature,3,G R W,{R}{G}{W},Dog,,,3,3
Dominate,Instant,3,U,{X}{1}{U}{U},,,,,3
Don't Move,Sorcery,5,W,{3}{W}{W},,,wipe,,3
"Donatello, Way with Machines",Creature,3,U,{2}{U},Mutant;Ninja;Turtle,,,1,3
Doom Reigns Supreme,Enchantment,2,B,{1}{B},Plan,,,,3
Door of Destinies,Artifact,4,,{4},,,,,3
Doorman,Creature,2,G,{1}{G},Mutant;Hero,,,2,3
"Dori, Bearer of Friends",Creature,3,R,{2}{R},Dwarf;Warrior,W U B R G,dork;ramp,3,3
Dose of Dawnglow,Instant,5,B,{4}{B},,,,,3
Down in the Valley,Enchantment,3,G,{2}{G},Saga,,fetch:basic,,3
"Down, Down to Goblin-town",Enchantment,3,B,{2}{B},Saga,,,,3
Downhill Charge,Instant,3,R,{2}{R},,,,,3
Dragon Broodmother,Creature,6,G R,{2}{R}{R}{R}{G},Dragon,,,4,3
Dragon Tempest,Enchantment,2,R,{1}{R},,,,,3
Dragon's Desire,Sorcery,4,R,{2}{R}{R},,R,,,3
Dragon-Cursed Halls,Land,0,,,,C,,,3
"Dragonhawk, Fate's Tempest",Creature,5,R,{3}{R}{R},Bird;Dragon,,,5,3
Dragonlord Dromoka,Creature,6,G W,{4}{G}{W},Elder;Dragon,,,5,3
Dragonlord Ojutai,Creature,5,U W,{3}{W}{U},Elder;Dragon,,,5,3
Dragonlord Silumgar,Creature,6,B U,{4}{U}{B},Elder;Dragon,,,3,3
Dragonmaster Outcast,Creature,1,R,{R},Human;Shaman,,,1,3
Dragonspeaker Shaman,Creature,3,R,{1}{R}{R},Human;Barbarian;Shaman,,discount:dragon:2,2,3
Dragoon's Lance,Artifact,2,W,{1}{W},Equipment,,,,3
Dragoon's Wyvern,Creature,3,U,{2}{U},Drake,,,2,3
Drake Hatchling,Creature,3,U,{2}{U},Drake,,,1,3
Dreaded Bat-Cloud,Creature,5,B,{4}{B},Bat,,,4,3
Dreadwing Scavenger,Creature,3,B U,{1}{U}{B},Nightmare;Bird,,draw,2,3
Dream Beavers,Creature,1,B,{B},Beaver;Nightmare,,,1,3
Dream Cache,Sorcery,3,U,{2}{U},,,draw,,3
Dream Prowler,Creature,4,U,{2}{U}{U},Illusion,,,1,3
Dream Seizer,Creature,4,B,{3}{B},Faerie;Rogue,,,3,3
Dreams of Laguna,Instant,2,U,{1}{U},,,draw,,3
Dredge the Mire,Sorcery,4,B,{3}{B},,,,,3
Drifting Meadow,Land,0,W,,,W,draw;etb-tapped,,3
Drowned Catacomb,Land,0,B U,,,U B,etb-tapped-cond,,3
Drudge Skeletons,Creature,2,B,{1}{B},Skeleton,,,1,3
Drumbellower,Creature,3,W,{2}{W},Spirit,,,2,3
"Duchess, Wayward Tavernkeep",Creature,4,R,{3}{R},Human;Citizen,,,4,3
Dungeon Shade,Creature,4,B,{3}{B},Shade;Spirit,,,1,3
Duskwatch Hunter,Creature,3,B G,{2}{B/G},Wolf,,,3,3
Duty Beyond Death,Instant,2,W,{1}{W},,,,,3
"Dwalin, Weaponmaster",Creature,2,R W,{1}{R/W},Dwarf;Warrior,,,2,3
Dwarven Berserker,Creature,2,R,{1}{R},Dwarf;Berserker,,,1,3
Dwarven Castle Guard,Creature,2,W,{1}{W},Dwarf;Soldier,,,2,3
Dwarven Mattock,Artifact,2,,{2},Equipment,,,,3
Dwarven Mauler,Creature,1,R,{R},Dwarf;Warrior,,,2,3
Dwarven Ruins,Land,0,R,,,R,etb-tapped;mana2,,3
Dwarven Shortsword,Artifact,4,W,{3}{W},Equipment,,,,3
Dynamite Diver,Creature,1,R,{R},Goblin;Pilot,,,1,3
Dáin Ironfoot,Creature,3,R,{2}{R},Dwarf;Warrior,,,1,3
Dáin's Company,Creature,2,R W,{R}{W},Dwarf;Warrior,,,2,3
"Dáin, Lord of the Iron Hills",Creature,2,W,{1}{W},Dwarf;Noble,,,2,3
Eager Glyphmage,Creature,4,W,{3}{W},Cat;Cleric,,,3,3
Eagle of the Great Shelf,Creature,5,W,{4}{W},Bird;Soldier,,,2,3
Eagle's Rescue,Enchantment,4,U W,{2}{W/U}{W/U},Aura,,,,3
Earth Kingdom Jailer,Creature,3,W,{2}{W},Human;Soldier;Ally,,,3,3
Earth Kingdom Protectors,Creature,1,W,{W},Human;Soldier;Ally,,,1,3
Earth Rumble,Sorcery,4,G,{3}{G},,,,,3
Earth's Mightiest Heroes,Sorcery,6,G,{4}{G}{G},,,,,3
Earthrumbler,Artifact,5,G,{4}{G},Vehicle,,,7,3
Eccentric Pestfinder // Turn Stones,Creature,4,B G,{2}{B}{G} // {B}{G},Troll;Druid,,,5,3
"Echo, Perceptive Prodigy",Creature,3,U,{2}{U},Human;Hero,,,1,3
Eclipsed Boggart,Creature,3,B R,{B/R}{B/R}{B/R},Goblin;Scout,,,2,3
Eclipsed Elf,Creature,3,B G,{B/G}{B/G}{B/G},Elf;Scout,,,3,3
Eclipsed Flamekin,Creature,3,R U,{1}{U/R}{U/R},Elemental;Scout,,,1,3
Eclipsed Kithkin,Creature,2,G W,{G/W}{G/W},Kithkin;Scout,,,2,3
Eclipsed Merrow,Creature,3,U W,{W/U}{W/U}{W/U},Merfolk;Scout,,,2,3
Eerie Gravestone,Artifact,2,B,{2},,,draw,,3
Efflorescence,Instant,3,G,{2}{G},,,,,3
Ekundu Griffin,Creature,4,W,{3}{W},Griffin,,,2,3
Elder Auntie,Creature,3,R,{2}{R},Goblin;Warlock,,,2,3
Electro's Bolt,Sorcery,3,R,{2}{R},,,,,3
"Electro, Assaulting Battery",Creature,3,R,{1}{R}{R},Human;Villain,R,,2,3
Electroduplicate,Sorcery,3,R,{2}{R},,,,,3
"Elektra, Daughter of the Hand",Creature,4,B,{2}{B}{B},Human;Ninja;Villain,,,3,3
"Elektra, Femme Fatale",Creature,4,R,{3}{R},Human;Assassin;Hero,,,3,3
Elemental Mascot,Creature,3,R U,{1}{U}{R},Elemental;Bird,,,1,3
"Elena, Turk Recruit",Creature,3,W,{2}{W},Human;Assassin,,,1,3
Elephant Grass,Enchantment,1,G,{G},,,,,3
Elite Interceptor // Rejoinder,Creature,1,W,{W} // {1}{W},Human;Wizard,,draw,1,3
"Elrond, Moon-Reader",Creature,3,U,{2}{U},Elf;Noble,,draw,3,3
Elven Cache,Sorcery,4,G,{2}{G}{G},,,,,3
Elven Passage,Land,0,,,,,fetch:basic;ramp,,3
Elven Raft-Steerer,Creature,3,U,{2}{U},Elf;Pilot,,,3,3
Elven Riders,Creature,5,G,{3}{G}{G},Elf,,,3,3
Elvenking's Halls,Land,0,G U,,,U G,etb-tapped,,3
Elvish Lyrist,Creature,1,G,{G},Elf,,,1,3
Elvish Mystic,Creature,1,G,{G},Elf;Druid,G,dork;ramp,1,3
Embalmed Ascendant,Creature,3,B W,{1}{W}{B},Zombie,,,1,3
Embrace the Paradox,Instant,5,G U,{3}{G}{U},,,draw,,3
Emeria Angel,Creature,4,W,{2}{W}{W},Angel,,,3,3
"Emeria, the Sky Ruin",Land,0,W,,,W,etb-tapped,,3
Emeritus of Ideation // Ancestral Recall,Creature,5,U,{3}{U}{U} // {U},Human;Wizard,,,5,3
Emet-Selch of the Third Seat,Creature,4,B U,{2}{U}{B},Elder;Wizard,,,3,3
"Emil, Vastlands Roamer",Creature,3,G,{2}{G},Elf;Druid,,,3,3
Empyrean Eagle,Creature,3,U W,{1}{W}{U},Bird;Spirit,,,2,3
Enchanted River's Grasp,Enchantment,3,U,{2}{U},Aura,,,,3
End-Blaze Epiphany,Instant,1,R,{X}{R},,,,,3
Endbringer's Revel,Enchantment,3,B,{2}{B},,,,,3
Endless Detour,Instant,3,G U W,{G}{W}{U},,,,,3
Endrider Catalyzer,Creature,2,R,{1}{R},Human;Warrior,R,dork;mana2;ramp,3,3
Energy Flux,Enchantment,3,U,{2}{U},,,,,3
Enfeeblement,Enchantment,2,B,{B}{B},Aura,,,,3
Engineered Plague,Enchantment,3,B,{2}{B},,,,,3
Enraged Flamecaster,Creature,3,R,{2}{R},Elemental;Sorcerer,,,3,3
Environmental Scientist,Creature,2,G,{1}{G},Human;Druid,,fetch:basic,2,3
Epic Fight,Sorcery,3,G,{2}{G},,,,,3
Equilibrium Adept,Creature,4,R,{3}{R},Dog;Monk,,,2,3
Erase,Instant,1,W,{W},,,removal,,3
Eriette's Lullaby,Sorcery,2,W,{1}{W},,,removal,,3
Errantry,Enchantment,2,R,{1}{R},Aura,,,,3
Esgaroth Garrison,Creature,5,W,{4}{W},Human;Soldier,,draw,*,3
Essence Filter,Sorcery,3,G,{1}{G}{G},,,wipe,,3
Essence Scatter,Instant,2,U,{1}{U},,,counter,,3
Essenceknit Scholar,Creature,3,B G,{B}{B/G}{G},Dryad;Warlock,,draw,3,3
Estinien Varlineau,Creature,4,B W,{2}{W}{B},Elf;Warrior,,draw,3,3
Eternal Student,Creature,4,B,{3}{B},Zombie;Warlock,,,4,3
Ether,Artifact,4,U,{3}{U},,U,ramp;rock,,3
Ether Well,Instant,4,U,{3}{U},,,,,3
Evacuation,Instant,5,U,{3}{U}{U},,,,,3
Ever-Watching Threshold,Enchantment,3,U,{2}{U},,,draw,,3
Evershrike's Gift,Enchantment,1,W,{W},Aura,,,,3
Evil Reawakened,Sorcery,5,B,{4}{B},,,,,3
Evil's Thrall,Sorcery,3,R,{2}{R},,,,,3
Evolving Wilds,Land,0,,,,,fetch:basic;ramp,,3
Excalibur II,Artifact,1,,{1},Equipment,,,,3
"Excava, the Risen Past",Creature,4,R W,{2}{R}{W},Spirit;Horse,,,3,3
Excavation,Enchantment,2,U,{1}{U},,,draw,,3
Excise,Instant,1,W,{X}{W},,,removal,,3
Exhibition Tidecaller,Creature,1,U,{U},Djinn;Wizard,,,0,3
Exotic Orchard,Land,0,,,,W U B R G,,,3
Expendable Troops,Creature,2,W,{1}{W},Human;Soldier,,,2,3
Explorer's Scope,Artifact,1,,{1},Equipment,,,,3
Explosion of Riches,Sorcery,6,R,{5}{R},,,draw,,3
Explosive Prodigy,Creature,2,R,{1}{R},Elemental;Sorcerer,,,1,3
Expressive Firedancer,Creature,2,R,{1}{R},Human;Sorcerer,,,2,3
